#kind	name	plugin
# Authoritative map: each skill/agent/command → its owning plugin.
# Single source of truth for move, rewrite, and validation scripts.
skill	eia-data	pnge-core
skill	usgs-produced-waters	pnge-core
skill	usgs-minerals	pnge-core
skill	pnge-literature	pnge-core
skill	datacite-doi	pnge-core
skill	pnge-visual-explainer	pnge-core
skill	usgs-earthquakes	pnge-federal-data
skill	usgs-waterdata	pnge-federal-data
skill	usgs-core-center	pnge-federal-data
skill	usgs-tnm	pnge-federal-data
skill	netl-edx	pnge-federal-data
skill	netl-carbon-storage	pnge-federal-data
skill	doe-geothermal	pnge-federal-data
skill	epa-regulatory	pnge-federal-data
skill	epa-treatability	pnge-federal-data
skill	boem-offshore	pnge-federal-data
skill	blm-mineral-records	pnge-federal-data
skill	fracfocus	pnge-federal-data
skill	nasa-earthdata	pnge-federal-data
skill	ejscreen-cejst-svi	pnge-federal-data
skill	wri-aqueduct	pnge-federal-data
skill	wvges-wells	pnge-state-regulatory
skill	padep-wells	pnge-state-regulatory
skill	odnr-wells	pnge-state-regulatory
skill	tx-rrc	pnge-state-regulatory
skill	nm-ocd	pnge-state-regulatory
skill	nd-dmr	pnge-state-regulatory
skill	la-sonris	pnge-state-regulatory
skill	ar-aogc	pnge-state-regulatory
skill	ok-occ	pnge-state-regulatory
skill	calgem	pnge-state-regulatory
skill	co-ecmc	pnge-state-regulatory
skill	appalachia-mineral-parcels	pnge-state-regulatory
skill	ospar-discharges	pnge-state-regulatory
skill	fred-prices	pnge-economics
skill	bls-data	pnge-economics
skill	bea-data	pnge-economics
skill	census-data	pnge-economics
skill	worldbank-energy	pnge-economics
skill	comtrade-minerals	pnge-economics
skill	iea-open	pnge-economics
skill	patentsview	pnge-patents
skill	frac-design	pnge-well-engineering
skill	wellbore-stability	pnge-well-engineering
skill	petrophysics	pnge-well-engineering
skill	perforation-design	pnge-well-engineering
skill	completion-diagnostics	pnge-well-engineering
skill	matrix-acidizing	pnge-well-engineering
skill	stage-treatment-analysis	pnge-well-engineering
skill	tubing-design	pnge-well-engineering
skill	pnge-mechanics	pnge-well-engineering
skill	artificial-lift	pnge-well-engineering
skill	flow-assurance	pnge-well-engineering
skill	surface-facilities	pnge-well-engineering
skill	rta-production	pnge-well-engineering
skill	well-test-analysis	pnge-well-engineering
skill	nodal-analysis-multiphase	pnge-well-engineering
skill	production-chemistry	pnge-well-engineering
skill	well-integrity-barriers	pnge-well-engineering
skill	petroleum-pvt	pnge-well-engineering
skill	production-surveillance	pnge-well-engineering
skill	pvt-report-review	pnge-well-engineering
skill	integrity-log-review	pnge-well-engineering
skill	kggs-well-logs	pnge-well-engineering
skill	macrostrat	pnge-well-engineering
skill	phreeqc-geochem	pnge-geochem-pw
skill	nist-webbook	pnge-geochem-pw
skill	mass-energy-balance	pnge-geochem-pw
skill	tnav	pnge-geochem-pw
skill	fluid-mechanics	pnge-engineering-science
skill	reaction-engineering	pnge-engineering-science
skill	thermo-eos	pnge-engineering-science
skill	heat-transfer	pnge-engineering-science
skill	mass-transfer-separations	pnge-engineering-science
skill	aqueous-chemistry-electrochem	pnge-engineering-science
skill	materials-fracture-mechanics	pnge-engineering-science
agent	li-mg-prospector	pnge-core
agent	pnge-gis-mapper	pnge-federal-data
agent	research-synthesis-writer	pnge-federal-data
agent	regulatory-disposal-analyst	pnge-state-regulatory
agent	pnge-geopolitics	pnge-economics
agent	tea-lca-analyst	pnge-economics
agent	dle-patent-scout	pnge-patents
agent	api-well-standards	pnge-well-engineering
agent	water-chem-qaqc	pnge-geochem-pw
agent	lab-method-planner	pnge-geochem-pw
agent	pnge-pw-treatment	pnge-geochem-pw
agent	pnge-tutor	pnge-engineering-science
command	prospect	pnge-core
command	doctor	pnge-core
command	literature-review	pnge-core
command	formation-profile	pnge-core
command	sustainability-profile	pnge-federal-data
command	regulatory-screen	pnge-state-regulatory
command	disposal-screen	pnge-state-regulatory
command	well-economics	pnge-economics
command	tea-dle	pnge-economics
command	patent-landscape	pnge-patents
command	completions-design	pnge-well-engineering
command	water-chem-compare	pnge-geochem-pw
